HwTrapBody(id=null, newOrClear=2, trapId=407228883, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:27:34, alarmClearedTime=2025-03-03 11:28:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407229007, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:28:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407230604, alarmCode=65080, alarmName=Mains Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:46:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407230604, alarmCode=65080, alarmName=Mains Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:46:27, alarmClearedTime=2025-03-03 11:46:42, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407229007, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:28:49, alarmClearedTime=2025-03-03 11:53:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407231334, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:54:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407231334, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:54:00, alarmClearedTime=2025-03-03 11:54:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407231390, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:54:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407231390, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:54:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407231390, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:54:45, alarmClearedTime=2025-03-03 12:20:54, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407247794, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 14:29:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407247794, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 14:29:15, alarmClearedTime=2025-03-03 14:29:33, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407252227, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:16:17, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407252227, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:16:17, alarmClearedTime=2025-03-03 15:28:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407254118, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:31:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407254118, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:31:05, alarmClearedTime=2025-03-03 15:31:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407254219, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:32:10, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407254219, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:32:10, alarmClearedTime=2025-03-03 15:57:14, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407259758, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 16:42:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
