ZteTrapBody(id=8851570473237431225, newOrClear=1, trapId=1718116879494, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1803246100149140637, newOrClear=1, trapId=1718116879495, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=9199654672182063003, newOrClear=1, trapId=1718116879496, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2160410515831929276, newOrClear=1, trapId=1718116879497, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2817226947636775264, newOrClear=1, trapId=1718116879498, alarmCode=198092295, alarmName=Device power down, siteId=HRT181, siteName=HRTC181_Jad_e_Kaj_OPEX_QZ(2181), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT181, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:36:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7387279712836892208, newOrClear=1, trapId=1718116879508, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT118, siteName=HRTC118_Khwaja_Tak_P2(2118), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT118, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:37:1.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879484, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:42:46.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879483, alarmCode=198083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:42:49.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=9008063428692327170, newOrClear=1, trapId=1718116879535, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KDR012, siteName=KDRC012_BTS_Greesh_Ada_P2(5412), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:42:46.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879535, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:42:58.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
