ZteTrapBody(id=2700864035661151716, newOrClear=1, trapId=1718086415037, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR009, siteName=KDRC009_Ansari_Market(9), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR009, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:2:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416344, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,17:6:34.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3696868443248967670, newOrClear=1, trapId=1718086416419, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR079, siteName=KDRC079_BTS_Karz_P3_MTN(79), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR079, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,17:9:51.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416419, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,17:12:49.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3704549029218202671, newOrClear=1, trapId=1718086417517, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR079, siteName=KDRC079_BTS_Karz_P3_MTN(79), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR079, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,23:49:18.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417517, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,23:51:1.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6090304044281957859, newOrClear=1, trapId=1718086417612, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR079, siteName=KDRC079_BTS_Karz_P3_MTN(79), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR079, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,1:6:10.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417612, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,1:9:3.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=887334269264987823, newOrClear=1, trapId=1718086417746, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR079, siteName=KDRC079_BTS_Karz_P3_MTN(79), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR079, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,4:3:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417746, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,4:6:21.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3871394072954060690, newOrClear=1, trapId=1718086417839, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=UZG001, siteName=UZGC001_HUB_Chaouk_i_Kandahar(451), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=UZG001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,4:35:24.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
