ZteTrapBody(id=null, newOrClear=2, trapId=1718086677400, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-24,13:18:40.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4387800465700946771, newOrClear=1, trapId=1718086678564, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GDZ001, siteName=GDZC001_BSC_Site_Gardez001_P1(3201), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-24,15:4:13.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086678564, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-24,15:4:55.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733201, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:5:40.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5942952442223755107, newOrClear=1, trapId=1718086733413, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT035, siteName=HRTC035_Qalwar_P1(2035), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:9:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733413, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:10:46.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8526820193921059370, newOrClear=1, trapId=1718086733417, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT035, siteName=HRTC035_Qalwar_P1(2035), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:10:57.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733417, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:15:14.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3397393901467867841, newOrClear=1, trapId=1718086733476, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT035, siteName=HRTC035_Qalwar_P1(2035), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:10:57.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733476, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:24:39.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
