ZteTrapBody(id=null, newOrClear=2, trapId=1718086425376, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,15:10:44.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086425369, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,15:24:3.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1857880894043747307, newOrClear=1, trapId=1718086426186, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,17:13:58.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086426186, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-31,17:16:33.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7359572981166827515, newOrClear=1, trapId=1718086426339, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-31,17:43:37.0,+4:30, alarmClearedTime=null, alarmNodeBId=3811, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086651759, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,10:14:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=9055781435273626724, newOrClear=1, trapId=1718086652465, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,12:59:58.0,+4:30, alarmClearedTime=null, alarmNodeBId=3411, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086652465, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,13:13:32.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8712161594045477259, newOrClear=1, trapId=1718086652568, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,13:26:43.0,+4:30, alarmClearedTime=null, alarmNodeBId=3411, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086652568, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,13:29:31.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4360152321742075781, newOrClear=1, trapId=1718086653005, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,15:6:51.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086653005, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,15:10:7.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5380324842125582201, newOrClear=1, trapId=1718086653113, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,15:45:22.0,+4:30, alarmClearedTime=null, alarmNodeBId=3411, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086653113, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,15:48:16.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086648984, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,16:2:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2698467179976849601, newOrClear=1, trapId=1718086653227, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,16:10:21.0,+4:30, alarmClearedTime=null, alarmNodeBId=3411, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086653227, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,16:13:14.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
