HwTrapBody(id=null, newOrClear=2, trapId=406178067, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU349, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:15:36, alarmClearedTime=2025-02-24 09:16:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406178215, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU349, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:18:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406178215, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU349, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:18:09, alarmClearedTime=2025-02-24 09:18:36, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406178297, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU349, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:19:28, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406178546, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:23:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406178546, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:23:08, alarmClearedTime=2025-02-24 09:43:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406178297, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL349, siteName=KBL349_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU349, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:19:28, alarmClearedTime=2025-02-24 09:48:02, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406182593, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:00:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406182593, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:00:31, alarmClearedTime=2025-02-24 10:01:10, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406185192, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=LGN015, siteName=LGNU015_GHAZI_SULTAN_TOWN_OPEX_PT, alarmSeverity=1, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=LGNU015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:27:35, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
