HwTrapBody(id=null, newOrClear=2, trapId=406171515, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ001, siteName=KDZH01-KDZ001_KUNDUZ_MOC_CPX_P1, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 07:43:48, alarmClearedTime=2025-02-24 08:30:38, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406178719, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ034, siteName=KDZH01-KDZ034_2G, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ034_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:25:34, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406178827, alarmCode=21825, alarmName=CSL Fault, siteId=KBL154, siteName=KBL039_MBSC-KBL154_2G, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL154_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:26:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406178719, alarmCode=21825, alarmName=CSL Fault, siteId=KDZ034, siteName=KDZH01-KDZ034_2G, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KDZ034_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:25:34, alarmClearedTime=2025-02-24 09:30:02, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406179344, alarmCode=21825, alarmName=CSL Fault, siteId=KBL349, siteName=KBL039_MBSC-KBL349_SHAHRAK_KHOWJA RAWASH_JTTS_P2, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL349_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:32:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406178827, alarmCode=21825, alarmName=CSL Fault, siteId=KBL154, siteName=KBL039_MBSC-KBL154_2G, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL154_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:26:26, alarmClearedTime=2025-02-24 09:41:59, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406179344, alarmCode=21825, alarmName=CSL Fault, siteId=KBL349, siteName=KBL039_MBSC-KBL349_SHAHRAK_KHOWJA RAWASH_JTTS_P2, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL349_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:32:14, alarmClearedTime=2025-02-24 09:46:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406186656, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:37:26, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406186656, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=6, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:37:26, alarmClearedTime=2025-02-24 10:38:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407209799, alarmCode=21825, alarmName=CSL Fault, siteId=KBL156, siteName=KBLH08-KBL156_Shahrak_e_Sulh Kotal_e_Khairkhana, alarmSeverity=2, alarmEventType=3, alarmNetType=19, alarmServiceType=4G, displaySiteId=KBL156_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 08:17:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
