HwTrapBody(id=null, newOrClear=2, trapId=406070562, alarmCode=21807, alarmName=OML Fault, siteId=MZR148, siteName=MZRH03-MZR148_KARTE_ADALAT_AWCC (BLK041)_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR148, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:32, alarmClearedTime=2025-02-23 12:59:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406070567, alarmCode=21807, alarmName=OML Fault, siteId=MZR111, siteName=MZRH03-MZR111_PROJE_S_PT_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR111, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:52:33, alarmClearedTime=2025-02-23 12:59:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406059371, alarmCode=21807, alarmName=OML Fault, siteId=KDZ031, siteName=KDZH01-KDZ031_NAW_ABAD_Etisalat(QDZ044)_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KDZ031, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:02:33, alarmClearedTime=2025-02-23 12:59:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406072204, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:03:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406072204, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:03:19, alarmClearedTime=2025-02-23 13:04:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406072447, alarmCode=21807, alarmName=OML Fault, siteId=JLD020, siteName=JLDH02-JLD020_BB_LALPURA_CPX_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=JLD020, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:06:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406072546, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:07:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406072599, alarmCode=21807, alarmName=OML Fault, siteId=BMN003, siteName=KBLH08-BMN003_YAKAWOLANG_MTN(BYN010)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:08:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406072546, alarmCode=21807, alarmName=OML Fault, siteId=KBL249, siteName=KBLH11-KBL249_TXN_Zore_Abad_e_Proje_Jadid_ Khairkhana_JTTS_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL249, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:07:39, alarmClearedTime=2025-02-23 13:08:17, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406072599, alarmCode=21807, alarmName=OML Fault, siteId=BMN003, siteName=KBLH08-BMN003_YAKAWOLANG_MTN(BYN010)_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 13:08:11, alarmClearedTime=2025-02-23 13:09:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
