HwTrapBody(id=null, newOrClear=1, trapId=406067031, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:19:25, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067166, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL177, siteName=KBL177_UL_TXN_JTTS, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:20:30, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067166, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL177, siteName=KBL177_UL_TXN_JTTS, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:20:30, alarmClearedTime=2025-02-23 12:20:49, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067031, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:19:25, alarmClearedTime=2025-02-23 12:23:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067774, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:24:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067774, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:24:38, alarmClearedTime=2025-02-23 12:26:15, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068161, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:29:06, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068304, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL316, siteName=KBLH08-KBL316_SARE_KOTAL_KHAIR_KAHANA_ETISALAT(KBL257)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU316, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:30:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406068161, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:29:06, alarmClearedTime=2025-02-23 12:33:37, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406068304, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL316, siteName=KBLH08-KBL316_SARE_KOTAL_KHAIR_KAHANA_ETISALAT(KBL257)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU316, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:30:46, alarmClearedTime=2025-02-23 12:35:07, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069250, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:40:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406069250, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:40:08, alarmClearedTime=2025-02-23 12:43:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069616, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=KBL463, siteName=KBLH11-KBL463_PARWARISH_GHA_TAHIAMASKAN_MTN(KBL035)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU463, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:44:43, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
