ZteTrapBody(id=7877736449227830928, newOrClear=1, trapId=1732079034283, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=BGL032, siteName=BGLL032_TXN_BTS_TAPEE_FARHAD_CPX_P2(6232), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=BGL032_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,17:17:49.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2320226024021177837, newOrClear=1, trapId=1732079034284, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GDZ070, siteName=GDZ070_TEST_BTS_TVG_OFFICE(3270), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GDZ070_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-17,17:29:3.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034283, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-17,17:43:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4840509122498931715, newOrClear=1, trapId=1732079034341, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN072, siteName=GZNL072_Alezei_Village_Andar_District_CAPX(5072), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN072_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,13:57:4.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034341, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,13:57:30.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5076321681751989740, newOrClear=1, trapId=1732079034355, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN070, siteName=GZNL070_Chawk-e-Mostofyat_CAPX(5070), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN070_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,15:21:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6465225976584505911, newOrClear=1, trapId=1732079034357, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN072, siteName=GZNL072_Alezei_Village_Andar_District_CAPX(5072), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN072_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,15:27:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034357, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,15:30:3.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079034355, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-2-18,15:36:15.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4149096346980628783, newOrClear=1, trapId=1732079034365, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN031, siteName=GZNL031_QARABAGHI_JTTS_P3(5031), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN031_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-2-18,15:41:58.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
