ZteTrapBody(id=7185192284675890345, newOrClear=1, trapId=1718086416820, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=FYB011, siteName=FYBL011_BELCHIRAGH_CPX_P3(4811), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=FYB011_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:6:20.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416820, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:11:20.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1764180666358155051, newOrClear=1, trapId=1718086416828, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=KST010, siteName=KSTP010_BTS_Yaqobi_P2_MTN_KST035(3410), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST010_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:12:16.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416828, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:14:16.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5715357164790630147, newOrClear=1, trapId=1718086416863, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=KST018, siteName=KSTP018_BTS_La_Kan_P3(3418), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST018_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:17:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416863, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:18:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=28368322491356515, newOrClear=1, trapId=1718086416927, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=KST018, siteName=KSTP018_BTS_La_Kan_P3(3418), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST018_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:33:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7079626119083859341, newOrClear=1, trapId=1718086416928, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=ZAR013, siteName=ZARC013_Noorabad_P2_ACG(2613), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=ZAR013_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,18:34:19.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416928, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:35:19.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086416927, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,18:40:59.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
